Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,soilType,averageTemp,averageHumidity,seedNum,block,germinated,escape,lesionPercent,rootLength,rootMass,averageInocLength,averageInocMass,averageLengthPedigreeByIsolate,averageMassPedigreeByIsolate,percentLengthPedByIsolate,percentMassPedByIsolate,notes,averageDiseasePerSpeciesPerLine,diseasePercentStd
99,,CML277,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,3,1,1,0,20,125.6,0.0697,104.9431481,0.045681481,132.2283333,0.0409,0.662458904,1.656237624,,40.83333333,2
100,,Oh7B,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,1,0,80,24.21,0.0084,125.6074074,0.036153704,113.43,0.022766667,0.149489045,0.153518124,,49.16666667,4.571428571
101,,CML277,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,0,0,100,0,0,125.6074074,0.036153704,40.55333333,0.005483333,0,0,,91.66666667,10
102,,CML333,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,1,0,50,153.83,0.0193,125.6074074,0.036153704,125.8766667,0.022983333,0.683835787,0.282507929,,49.16666667,30
103,,NC344,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,0,0,100,0,0,125.6074074,0.036153704,46.38666667,0.0125,0,0,,82.5,100
104,,H100,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,1,0,10,165.38,0.062,125.6074074,0.036153704,101.9166667,0.027716667,0.782968919,1.031042129,,45,0.923076923
105,,NC304,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,1,0,10,168.57,0.0688,125.6074074,0.036153704,28.095,0.011466667,0.8635537,1.108783239,,85,6
106,,B73,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,0,0,100,0,0,125.6074074,0.036153704,35.485,0.01575,0,0,,83.33333333,60
107,,Ms71,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,0,0,100,0,0,125.6074074,0.036153704,11.625,0.005283333,0,0,,96.66666667,15
108,,CML103,21,rep4,G.i,sandcornmeal,G.i,na,BM2,65,50,9,1,0,0,100,0,0,125.6074074,0.036153704,84.445,0.025616667,0,0,,57.5,4.615384615
109,,CML333,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,0,285.42,0.0614,131.8016667,0.048444444,224.9516667,0.068316667,1.268805892,0.898755794,,1.666666667,0
110,,CML103,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,5,153.83,0.026,131.8016667,0.048444444,148.1516667,0.065566667,1.03832784,0.396542959,,21.66666667,0.230769231
111,,NC344,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,0,217.22,0.0761,131.8016667,0.048444444,202.3083333,0.097233333,1.073707625,0.782653411,,0,0
112,,NC304,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,5,264.24,0.0842,131.8016667,0.048444444,195.205,0.06205,1.353653851,1.356970185,,1.666666667,3
113,,H100,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,5,196.38,0.049,131.8016667,0.048444444,211.2216667,0.060133333,0.929734166,0.814855876,,10.83333333,0.461538462
114,,B73,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,5,177.49,0.388,131.8016667,0.048444444,199.5766667,0.129816667,0.88933242,2.988830402,,1.666666667,3
115,,Ms71,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,0,179.03,0.0723,131.8016667,0.048444444,204.0783333,0.0697,0.877261182,1.037302726,,6.666666667,0
116,,Oh7B,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,0,134.91,0.0491,131.8016667,0.048444444,161.9516667,0.054716667,0.833026314,0.897349985,,17.5,0
117,,CML277,21,rep4,Standard,control,Standard,na,BM2,65,50,22,2,1,0,20,181.56,0.0263,131.8016667,0.048444444,189.5966667,0.042083333,0.957611772,0.624950495,,10,2
118,,H100,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,0,0,100,0,0,99.14528302,0.037598113,10.00333333,0.00145,0,0,,95.83333333,9.230769231
119,,CML333,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,0,0,100,0,0,99.14528302,0.037598113,16.23333333,0.008966667,0,0,,89.16666667,60
120,,B73,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,1,0,50,83.03,0.0389,99.14528302,0.037598113,19.48,0.007933333,0.416030598,0.299653357,,89.16666667,30
121,,Oh7B,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,1,0,75,81.34,0.0175,99.14528302,0.037598113,26.18333333,0.005466667,0.502248613,0.319829424,,85,4.285714286
122,,Ms71,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,0,0,100,0,0,99.14528302,0.037598113,26.415,0.020166667,0,0,,89.16666667,15
123,,NC344,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,1,0,70,44.81,0.0507,99.14528302,0.037598113,79.13833333,0.044883333,0.221493595,0.521426123,,58.33333333,70
124,,CML103,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,1,0,95,4.6,0,99.14528302,0.037598113,14.36,0.0025,0.031049263,0,,91.66666667,4.384615385
125,,CML277,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,0,0,100,0,0,99.14528302,0.037598113,22.625,0.0096,0,0,,85.83333333,10
126,,NC304,21,rep4,G.uu,sandcornmeal,G.uu,na,BM2,65,50,16,2,1,0,85,17.71,0.0144,99.14528302,0.037598113,19.83833333,0.005183333,0.090725135,0.232070911,,90,51
127,,CML103,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,4,2,0,0,100,0,0,104.9431481,0.045681481,121.1333333,0.044666667,0,0,,37.5,4.615384615
128,,CML333,21,rep4,G.a,sandcornmeal,G.a,na,BM2,65,50,4,2,1,0,0,183.11,0.0767,104.9431481,0.045681481,223.3716667,0.078133333,0.813997081,1.122712857,,0,0
